model_class,origin_date,rmse_near,rmse_far,bias_near,bias_far
VECM,2005-12-31,41.83097653805224,173.53655037366715,32.23088872470087,170.13417374850405
VECM,2006-12-31,56.704381468109524,156.83917018747874,46.943781633735036,155.6782203319648
VECM,2007-12-31,47.88838384172802,99.06125829085529,42.33777555073777,98.79821432948737
VECM,2008-12-31,4.4710420633925105,48.807925804520515,1.5455957749745437,-38.510101042831494
VECM,2009-12-31,28.77799913113955,21.794332436505087,25.990975367470984,10.316846705253964
VECM,2010-12-31,11.579137339598669,44.76774438737655,11.02087070793164,-37.074608870267696
VECM,2011-12-31,10.682392358842213,52.525284343364476,10.265841229950581,-38.22582441026533
VECM,2012-12-31,3.517420609484506,89.59714842084188,1.4770152128096516,-66.86288074688851
VECM,2013-12-31,12.136314983015534,127.9710693705094,-10.207957740232871,-104.69726246774162
VECM,2014-12-31,13.756781401779138,149.11718306200848,-11.343642589679106,-125.55225706059426
State-Space,2005-12-31,11.015203085373981,29.413466424247485,-8.07027849014068,26.151083347016986
State-Space,2006-12-31,13.504573830317444,38.80527140433773,10.327901254054174,35.67229906390735
State-Space,2007-12-31,19.141973318690837,34.64942987139689,17.16485360390554,26.964487767979637
State-Space,2008-12-31,16.11054174120621,26.22443071360235,8.736207618312463,4.627099671315103
State-Space,2009-12-31,26.19562465088427,33.98280899343724,23.453100052654253,-12.693113802402788
State-Space,2010-12-31,19.261907942648868,61.03478787444086,18.53188729119664,-44.10177960024214
State-Space,2011-12-31,9.193630746024418,104.55246370751011,-3.307547253329806,-89.31517430677971
State-Space,2012-12-31,21.61019479848871,152.17431647293333,-19.193143238777512,-131.00305458471325
State-Space,2013-12-31,22.391571794351186,181.17375885249717,-18.86098991922491,-156.4058935028772
State-Space,2014-12-31,29.0189593811299,213.3322225775091,-24.888320797442805,-188.52264886764968
Horizon Hybrid,2005-12-31,11.015203085373981,173.53655037366715,-8.07027849014068,170.13417374850405
Horizon Hybrid,2006-12-31,13.504573830317444,156.83917018747874,10.327901254054174,155.6782203319648
Horizon Hybrid,2007-12-31,19.141973318690837,99.06125829085529,17.16485360390554,98.79821432948737
Horizon Hybrid,2008-12-31,16.11054174120621,48.807925804520515,8.736207618312463,-38.510101042831494
Horizon Hybrid,2009-12-31,26.19562465088427,21.794332436505087,23.453100052654253,10.316846705253964
Horizon Hybrid,2010-12-31,19.261907942648868,44.76774438737655,18.53188729119664,-37.074608870267696
Horizon Hybrid,2011-12-31,9.193630746024418,52.525284343364476,-3.307547253329806,-38.22582441026533
Horizon Hybrid,2012-12-31,21.61019479848871,89.59714842084188,-19.193143238777512,-66.86288074688851
Horizon Hybrid,2013-12-31,22.391571794351186,127.9710693705094,-18.86098991922491,-104.69726246774162
Horizon Hybrid,2014-12-31,29.0189593811299,149.11718306200848,-24.888320797442805,-125.55225706059426
Econometric Ensemble,2005-12-31,40.17267776642574,235.46551664648584,30.025488749972407,223.02098087073404
Econometric Ensemble,2006-12-31,43.586498129787074,137.13440732882796,35.91341023419976,135.43218446090404
Econometric Ensemble,2007-12-31,34.38954939920288,78.74179956744952,30.178744402674734,77.39189496335845
Econometric Ensemble,2008-12-31,18.869445759361156,37.75615696241421,12.873430623198066,20.03635890996239
Econometric Ensemble,2009-12-31,26.212617265498636,31.633936509235912,22.394691380135594,13.31449280541178
Econometric Ensemble,2010-12-31,19.61096304224889,34.54784646666566,19.01120612242309,-17.766573670746318
Econometric Ensemble,2011-12-31,6.347077473379199,78.17912066869285,-0.10918688995049781,-66.01789392328965
Econometric Ensemble,2012-12-31,14.202542877932427,116.82099932096327,-12.173350868203093,-96.52716944482611
Econometric Ensemble,2013-12-31,12.699388951825759,139.10098651372357,-10.98964841177063,-112.657335408781
Econometric Ensemble,2014-12-31,17.618033530570642,172.30856631161157,-14.777881982951294,-147.19644226544784
